WCR Number,ScreenTopDepth_ft,ScreenBottomDepth_ft,WeatheredBedrockDepth_ft,BedrockDepth_ft,BedrockType_WellScreen,PLSS MTRS,WCR Links
WCR0065323,50,102,30,30,sandstone,M14N15W03,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N15W%2F&files=14N15W03_104893.pdf
WCR0240148,180,260,12,74,soft sandstone/clay/sandstone,M14N15W03,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N15W%2F&files=14N15W03_104896.pdf
WCR0065325,18,28,9999,9999,Did not reach bedrock,M14N15W11,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N15W%2F&files=14N15W11_116100.pdf
WCR1992-002420,35,55,9999,9999,Did not reach bedrock,M14N15W13,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N15W%2F&files=14N15W13_391067.pdf
WCR2003-004208,40,120,20,20,Brown clay cemented gravel/blue clay/blue clay w gravel and coarse sand stringers,M14N15W13,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N15W%2F&files=14N15W13_804853.pdf
WCR2001-005412,100,160,2,62,sandstone/shale w sandstone,M14N15W28,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N15W%2F&files=14N15W28_762455.pdf
WCR1993-001988,20,154,29,29,gray sandstone,M14N17W13,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N17W%2F&files=14N17W13_419898.pdf
WCR0219897,33,53,19,19,blue and green clay and shale/gray clay and rock/gray clay/sand and gravel/gray clay and rock,M14N17W24,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N17W%2F&files=14N17W24_056459.pdf
WCR2000-004608,60,210,16,16,clay cemented gravels/clay w gravel stringers/clay w sand and gravel,M15N12W05,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N12W%2F&files=15N12W05_730694.pdf
WCR2009-006841,22,62,9999,9999,Did not reach bedrock,M15N12W05,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N12W%2F&files=15N12W05_E0113126.pdf
WCR2010-005023,35,35,9999,9999,Did not reach bedrock,M15N12W05,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N12W%2F&files=15N12W05_E0126631.pdf
WCR2010-005011,77,78,9999,9999,Did not reach bedrock,M15N12W05,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N12W%2F&files=15N12W05_E0126685.pdf
WCR2006-004674,10,25,9999,9999,Did not reach bedrock,M15N12W05,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N12W%2F&files=15N12W05_E038756.pdf
WCR2007-003131,40,100,9999,9999,Did not reach bedrock,M15N12W05,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N12W%2F&files=15N12W05_E063497.pdf
WCR2014-005038,40,200,40,40,blue clay w cemented gravel,M15N12W06,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N12W%2F&files=15N12W06_E0206617.pdf
WCR2001-001247,40,160,142,142,shale w clay,M15N12W07,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N12W%2F&files=15N12W07_710597.pdf
WCR0030737,19.3,22.3,9999,9999,Did not reach bedrock,M15N12W08,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N12W%2F&files=15N12W08_0931088A-B.pdf
WCR0193663,196,211,57,109,cemented gravel/clay,M15N12W08,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N12W%2F&files=15N12W08_126804.pdf
WCR1994-004870,10,25,9999,9999,Did not reach bedrock,M15N12W08,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N12W%2F&files=15N12W08_564309.pdf
WCR1990-002614,2,6,9999,9999,Did not reach bedrock,M15N12W20,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N12W%2F&files=15N12W20_292250.pdf
WCR2002-003693,5,25,9999,9999,Did not reach bedrock,M15N12W20,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F15N12W%2F&files=15N12W20_778061.pdf
