"SegNum","frac_depletion","WellNum","time_days","dist_wellToStream_m","Tr_bulk_m2d","S_bulk","lmda_m2d"
281,0.204,417,258,1122.168,32.187,0.274,70.383
282,0.334,417,258,1120.596,41.612,0.281,94.139
283,0.022,417,258,3076.485,40.978,0.275,93.733
289,0.031,417,258,3118.868,50.692,0.277,89.053
169,0.033,417,3543,3131.63,26.751,0.27,60.932
170,0.144,417,3543,1700.541,31.39,0.27,66.923
171,0.094,417,3543,2015.404,71.469,0.274,86.945
192,0.019,417,3543,4985.975,35.953,0.27,57.095
278,0.045,417,3543,3116.85,39.147,0.272,69.038
279,0.01,417,3543,2752.341,24.591,0.273,73.16
280,0.091,417,3543,1492.616,25.566,0.273,68.15
281,0.164,417,3543,1122.168,32.187,0.274,70.383
282,0.269,417,3543,1120.596,41.612,0.281,94.139
283,0.017,417,3543,3076.485,40.978,0.275,93.733
285,0.031,417,3543,3587.397,75.91,0.287,83.426
287,0.043,417,3543,2890.817,11.568,0.272,71.061
288,0.013,417,3543,3674.739,53.923,0.28,90.941
289,0.025,417,3543,3118.868,50.692,0.277,89.053
169,0.032,417,18143,3131.63,26.751,0.27,60.932
170,0.138,417,18143,1700.541,31.39,0.27,66.923
171,0.09,417,18143,2015.404,71.469,0.274,86.945
192,0.018,417,18143,4985.975,35.953,0.27,57.095
262,0.016,417,18143,6014.578,72.659,0.279,93.412
277,0.022,417,18143,5092.994,23.277,0.272,53.74
278,0.043,417,18143,3116.85,39.147,0.272,69.038
280,0.087,417,18143,1492.616,25.566,0.273,68.15
281,0.157,417,18143,1122.168,32.187,0.274,70.383
282,0.257,417,18143,1120.596,41.612,0.281,94.139
283,0.017,417,18143,3076.485,40.978,0.275,93.733
285,0.03,417,18143,3587.397,75.91,0.287,83.426
287,0.041,417,18143,2890.817,11.568,0.272,71.061
288,0.013,417,18143,3674.739,53.923,0.28,90.941
289,0.024,417,18143,3118.868,50.692,0.277,89.053
444,0.016,417,18143,6722.29,63.817,0.274,81.217
170,0.025,418,258,2678.463,10.356,0.273,66.923
171,0.022,418,258,2898.335,30.263,0.281,86.945
280,0.03,418,258,1635.151,72.297,0.271,68.15
281,0.093,418,258,658.413,66.302,0.27,70.383
282,0.819,418,258,302.84,76.512,0.273,94.139
289,0.012,418,258,2916.852,99.162,0.27,89.053
170,0.023,418,3543,2678.463,10.356,0.273,66.923
171,0.021,418,3543,2898.335,30.263,0.281,86.945
278,0.017,418,3543,2817.722,74.593,0.271,69.038
280,0.036,418,3543,1635.151,72.297,0.271,68.15
281,0.088,418,3543,658.413,66.302,0.27,70.383
282,0.777,418,3543,302.84,76.512,0.273,94.139
285,0.014,418,3543,3118.552,139.368,0.274,83.426
287,0.024,418,3543,2155.72,56.337,0.27,71.061
170,0.023,418,18143,2678.463,10.356,0.273,66.923
171,0.021,418,18143,2898.335,30.263,0.281,86.945
278,0.017,418,18143,2817.722,74.593,0.271,69.038
280,0.036,418,18143,1635.151,72.297,0.271,68.15
281,0.088,418,18143,658.413,66.302,0.27,70.383
282,0.777,418,18143,302.84,76.512,0.273,94.139
285,0.014,418,18143,3118.552,139.368,0.274,83.426
287,0.024,418,18143,2155.72,56.337,0.27,71.061
265,0.013,419,258,4051.228,19.285,0.27,82.856
281,0.086,419,258,1267.972,15.081,0.271,70.383
282,0.8,419,258,599.346,9.371,0.27,94.139
283,0.029,419,258,2061.007,10.706,0.273,93.733
287,0.073,419,258,1644.23,26.561,0.27,71.061
110,0.011,419,3543,6173.783,16.912,0.271,85.288
170,0.025,419,3543,3668.309,25.484,0.273,66.923
171,0.025,419,3543,3797.697,57.4,0.279,86.945
183,0.011,419,3543,3988.046,20.407,0.27,82.624
262,0.019,419,3543,4300.899,28.206,0.272,93.412
277,0.014,419,3543,5274.662,29.175,0.271,53.74
278,0.03,419,3543,2857.334,19.106,0.27,69.038
280,0.048,419,3543,2153.191,15.017,0.27,68.15
281,0.065,419,3543,1267.972,15.081,0.271,70.383
282,0.612,419,3543,599.346,9.371,0.27,94.139
283,0.022,419,3543,2061.007,10.706,0.273,93.733
285,0.027,419,3543,2929.389,42.065,0.297,83.426
287,0.056,419,3543,1644.23,26.561,0.27,71.061
288,0.014,419,3543,2850.199,32.326,0.289,90.941
289,0.02,419,3543,2899.329,20.33,0.277,89.053
110,0.012,419,18143,6173.783,16.912,0.271,85.288
170,0.025,419,18143,3668.309,25.484,0.273,66.923
171,0.025,419,18143,3797.697,57.4,0.279,86.945
183,0.011,419,18143,3988.046,20.407,0.27,82.624
262,0.019,419,18143,4300.899,28.206,0.272,93.412
277,0.014,419,18143,5274.662,29.175,0.271,53.74
278,0.03,419,18143,2857.334,19.106,0.27,69.038
280,0.048,419,18143,2153.191,15.017,0.27,68.15
281,0.065,419,18143,1267.972,15.081,0.271,70.383
282,0.612,419,18143,599.346,9.371,0.27,94.139
283,0.022,419,18143,2061.007,10.706,0.273,93.733
285,0.027,419,18143,2929.389,42.065,0.297,83.426
287,0.056,419,18143,1644.23,26.561,0.27,71.061
288,0.014,419,18143,2850.199,32.326,0.289,90.941
289,0.02,419,18143,2899.329,20.33,0.277,89.053
261,0.034,420,258,3548.141,66.207,0.27,118.186
262,0.079,420,258,3550.401,90.445,0.271,93.412
265,0.048,420,258,3181.404,51.423,0.27,82.856
281,0.088,420,258,2186.778,43.799,0.27,70.383
282,0.536,420,258,1450.992,40.879,0.27,94.139
283,0.065,420,258,2153.891,48.301,0.27,93.733
287,0.149,420,258,1661.281,21.31,0.27,71.061
108,0.021,420,3543,5053.585,49.872,0.27,66.753
109,0.011,420,3543,5030.499,56.285,0.27,77.287
110,0.029,420,3543,5173.786,62.06,0.27,85.288
169,0.011,420,3543,6063.852,51.253,0.27,60.932
170,0.027,420,3543,4662.051,63.158,0.271,66.923
171,0.029,420,3543,4644.169,85.685,0.271,86.945
182,0.018,420,3543,4979.339,35.721,0.27,61.29
183,0.023,420,3543,3637.64,42.98,0.27,82.624
257,0.013,420,3543,5400.454,51.2,0.27,101.594
259,0.012,420,3543,4426.099,54.962,0.27,134.109
261,0.019,420,3543,3548.141,66.207,0.27,118.186
262,0.044,420,3543,3550.401,90.445,0.271,93.412
263,0.013,420,3543,5536.978,103.809,0.27,81.653
264,0.02,420,3543,4445.824,28.873,0.27,66.514
265,0.026,420,3543,3181.404,51.423,0.27,82.856
277,0.021,420,3543,5632.911,40.563,0.27,53.74
278,0.042,420,3543,3223.222,51.696,0.27,69.038
279,0.011,420,3543,2979.275,52.73,0.27,73.16
280,0.05,420,3543,2714.011,44.566,0.27,68.15
281,0.048,420,3543,2186.778,43.799,0.27,70.383
282,0.296,420,3543,1450.992,40.879,0.27,94.139
283,0.036,420,3543,2153.891,48.301,0.27,93.733
285,0.044,420,3543,3072.015,117.964,0.278,83.426
287,0.082,420,3543,1661.281,21.31,0.27,71.061
288,0.025,420,3543,2904.065,49.63,0.272,90.941
289,0.029,420,3543,3062.539,69.904,0.272,89.053
108,0.021,420,18143,5053.585,49.872,0.27,66.753
109,0.011,420,18143,5030.499,56.285,0.27,77.287
110,0.029,420,18143,5173.786,62.06,0.27,85.288
169,0.013,420,18143,6063.852,51.253,0.27,60.932
170,0.027,420,18143,4662.051,63.158,0.271,66.923
171,0.029,420,18143,4644.169,85.685,0.271,86.945
182,0.018,420,18143,4979.339,35.721,0.27,61.29
183,0.023,420,18143,3637.64,42.98,0.27,82.624
257,0.013,420,18143,5400.454,51.2,0.27,101.594
259,0.012,420,18143,4426.099,54.962,0.27,134.109
261,0.019,420,18143,3548.141,66.207,0.27,118.186
262,0.044,420,18143,3550.401,90.445,0.271,93.412
263,0.013,420,18143,5536.978,103.809,0.27,81.653
264,0.02,420,18143,4445.824,28.873,0.27,66.514
265,0.026,420,18143,3181.404,51.423,0.27,82.856
277,0.022,420,18143,5632.911,40.563,0.27,53.74
278,0.042,420,18143,3223.222,51.696,0.27,69.038
279,0.01,420,18143,2979.275,52.73,0.27,73.16
280,0.05,420,18143,2714.011,44.566,0.27,68.15
281,0.048,420,18143,2186.778,43.799,0.27,70.383
282,0.295,420,18143,1450.992,40.879,0.27,94.139
283,0.036,420,18143,2153.891,48.301,0.27,93.733
285,0.043,420,18143,3072.015,117.964,0.278,83.426
287,0.082,420,18143,1661.281,21.31,0.27,71.061
288,0.025,420,18143,2904.065,49.63,0.272,90.941
289,0.029,420,18143,3062.539,69.904,0.272,89.053
260,0.042,421,258,3233.863,11.449,0.27,133.44
261,0.081,421,258,2945.481,9.371,0.27,118.186
262,0.16,421,258,2951.773,13.714,0.275,93.412
265,0.121,421,258,2414.583,14.174,0.27,82.856
282,0.369,421,258,2268.472,17.104,0.27,94.139
283,0.075,421,258,2651.555,13.289,0.27,93.733
287,0.151,421,258,2194.589,21.12,0.27,71.061
108,0.017,421,3543,4085.065,29.7,0.27,66.753
109,0.026,421,3543,4058.272,19.582,0.27,77.287
110,0.031,421,3543,4173.789,13.978,0.271,85.288
183,0.037,421,3543,3544.056,13.409,0.27,82.624
259,0.027,421,3543,3628.879,16.51,0.27,134.109
260,0.023,421,3543,3233.863,11.449,0.27,133.44
261,0.045,421,3543,2945.481,9.371,0.27,118.186
262,0.089,421,3543,2951.773,13.714,0.275,93.412
264,0.05,421,3543,3623.121,24.536,0.27,66.514
265,0.067,421,3543,2414.583,14.174,0.27,82.856
271,0.013,421,3543,3539.813,17.027,0.27,82.087
278,0.027,421,3543,3822.821,48.06,0.27,69.038
279,0.012,421,3543,3648.239,41.747,0.27,73.16
280,0.049,421,3543,3463.515,37.002,0.27,68.15
281,0.041,421,3543,3155.351,30.934,0.27,70.383
282,0.205,421,3543,2268.472,17.104,0.27,94.139
283,0.042,421,3543,2651.555,13.289,0.27,93.733
284,0.01,421,3543,3279.528,9.681,0.27,89.573
285,0.037,421,3543,3506.17,44.618,0.282,83.426
287,0.084,421,3543,2194.589,21.12,0.27,71.061
288,0.033,421,3543,3277.737,20.492,0.271,90.941
289,0.034,421,3543,3502.041,24.088,0.273,89.053
108,0.038,421,18143,4085.065,29.7,0.27,66.753
109,0.021,421,18143,4058.272,19.582,0.27,77.287
110,0.053,421,18143,4173.789,13.978,0.271,85.288
111,0.012,421,18143,6072.756,14.517,0.27,111.879
170,0.024,421,18143,5657.943,18.999,0.271,66.923
171,0.026,421,18143,5533.258,11.125,0.274,86.945
182,0.024,421,18143,4774.211,27.478,0.27,61.29
183,0.031,421,18143,3544.056,13.409,0.27,82.624
257,0.022,421,18143,4537.508,24.855,0.27,101.594
259,0.021,421,18143,3628.879,16.51,0.27,134.109
