"SegNum","WellNum","time_days","pump_factor","Qs","frac_depletion","depletion_m3d"
51,8,258,1,0,0.082,0
51,8,3543,1,1e-07,0.069,0
51,8,18143,1,0.0170212,0.054,0.0009191
51,8,258,1.5,0,0.082,0
51,8,3543,1.5,2e-07,0.069,0
51,8,18143,1.5,0.0255318,0.054,0.0013787
61,8,258,0.5,0,0.166,0
61,8,3543,0.5,0.0201977,0.14,0.0028277
61,8,18143,0.5,0.1632285,0.11,0.0179551
61,8,258,1,0,0.166,0
61,8,3543,1,0.0403954,0.14,0.0056554
61,8,18143,1,0.326457,0.11,0.0359103
61,8,258,1.5,0,0.166,0
61,8,3543,1.5,0.0605931,0.14,0.008483
61,8,18143,1.5,0.4896855,0.11,0.0538654
63,8,258,0.5,0,0.169,0
63,8,3543,0.5,0.0680178,0.143,0.0097265
63,8,18143,0.5,0.2285801,0.112,0.025601
63,8,258,1,0,0.169,0
63,8,3543,1,0.1360356,0.143,0.0194531
63,8,18143,1,0.4571603,0.112,0.051202
63,8,258,1.5,0,0.169,0
63,8,3543,1.5,0.2040534,0.143,0.0291796
63,8,18143,1.5,0.6857404,0.112,0.0768029
64,8,258,0.5,0,0.436,0
64,8,3543,0.5,0.0665293,0.369,0.0245493
64,8,18143,0.5,0.2271131,0.289,0.0656357
64,8,258,1,0,0.436,0
64,8,3543,1,0.1330586,0.369,0.0490986
64,8,18143,1,0.4542263,0.289,0.1312714
64,8,258,1.5,0,0.436,0
64,8,3543,1.5,0.1995879,0.369,0.0736479
64,8,18143,1.5,0.6813394,0.289,0.1969071
214,8,258,0.5,0,0.148,0
214,8,3543,0.5,0.0261588,0.125,0.0032698
214,8,18143,0.5,0.1749477,0.098,0.0171449
214,8,258,1,0,0.148,0
214,8,3543,1,0.0523176,0.125,0.0065397
214,8,18143,1,0.3498953,0.098,0.0342897
214,8,258,1.5,0,0.148,0
214,8,3543,1.5,0.0784764,0.125,0.0098095
214,8,18143,1.5,0.524843,0.098,0.0514346
65,8,3543,0.5,0.0050428,0.05,0.0002521
65,8,18143,0.5,0.1142013,0.04,0.0045681
65,8,3543,1,0.0100856,0.05,0.0005043
65,8,18143,1,0.2284026,0.04,0.0091361
65,8,3543,1.5,0.0151284,0.05,0.0007564
65,8,18143,1.5,0.3426039,0.04,0.0137042
66,8,3543,0.5,8.19e-05,0.052,4.3e-06
66,8,18143,0.5,0.0429531,0.048,0.0020617
66,8,3543,1,0.0001639,0.052,8.5e-06
66,8,18143,1,0.0859062,0.048,0.0041235
66,8,3543,1.5,0.0002458,0.052,1.28e-05
66,8,18143,1.5,0.1288593,0.048,0.0061852
336,8,3543,0.5,0.0167634,0.052,0.0008717
336,8,18143,0.5,0.1553696,0.116,0.0180229
336,8,3543,1,0.0335268,0.052,0.0017434
336,8,18143,1,0.3107392,0.116,0.0360457
336,8,3543,1.5,0.0502901,0.052,0.0026151
336,8,18143,1.5,0.4661087,0.116,0.0540686
62,8,18143,0.5,0.0013344,0.017,2.27e-05
62,8,18143,1,0.0026689,0.017,4.54e-05
62,8,18143,1.5,0.0040033,0.017,6.81e-05
67,8,18143,0.5,0.0125611,0.034,0.0004271
67,8,18143,1,0.0251221,0.034,0.0008542
67,8,18143,1.5,0.0376832,0.034,0.0012812
70,8,18143,0.5,0.0035096,0.013,4.56e-05
70,8,18143,1,0.0070192,0.013,9.12e-05
70,8,18143,1.5,0.0105288,0.013,0.0001369
211,8,18143,0.5,0.0079137,0.022,0.0001741
211,8,18143,1,0.0158274,0.022,0.0003482
211,8,18143,1.5,0.023741,0.022,0.0005223
213,8,18143,0.5,0.005283,0.013,6.87e-05
213,8,18143,1,0.0105661,0.013,0.0001374
213,8,18143,1.5,0.0158491,0.013,0.000206
298,8,18143,0.5,0.0606673,0.014,0.0008493
298,8,18143,1,0.1213346,0.014,0.0016987
298,8,18143,1.5,0.182002,0.014,0.002548
299,8,18143,0.5,0.0603755,0.02,0.0012075
299,8,18143,1,0.1207509,0.02,0.002415
299,8,18143,1.5,0.1811264,0.02,0.0036225
51,9,258,0.5,0,0.251,0
51,9,3543,0.5,0.0140448,0.185,0.0025983
51,9,18143,0.5,0.148326,0.13,0.0192824
51,9,258,1,0,0.251,0
51,9,3543,1,0.0280895,0.185,0.0051966
51,9,18143,1,0.2966519,0.13,0.0385647
51,9,258,1.5,0,0.251,0
51,9,3543,1.5,0.0421343,0.185,0.0077948
51,9,18143,1.5,0.4449779,0.13,0.0578471
61,9,258,0.5,0,0.164,0
61,9,3543,0.5,0.0323756,0.121,0.0039175
61,9,18143,0.5,0.1853974,0.085,0.0157588
61,9,258,1,0,0.164,0
61,9,3543,1,0.0647513,0.121,0.0078349
61,9,18143,1,0.3707949,0.085,0.0315176
61,9,258,1.5,0,0.164,0
61,9,3543,1.5,0.0971269,0.121,0.0117524
61,9,18143,1.5,0.5561923,0.085,0.0472763
63,9,258,0.5,0,0.091,0
63,9,3543,0.5,0.0505722,0.067,0.0033883
63,9,18143,0.5,0.2099235,0.047,0.0098664
63,9,258,1,0,0.091,0
63,9,3543,1,0.1011445,0.067,0.0067767
63,9,18143,1,0.4198471,0.047,0.0197328
63,9,258,1.5,0,0.091,0
63,9,3543,1.5,0.1517167,0.067,0.010165
63,9,18143,1.5,0.6297706,0.047,0.0295992
