Time,pump,Qf.thres,web.exp,n.reach,n.match,bias.match,MAE.match,depletion.prc.modflow.mean,depletion.prc.modflow.min,depletion.prc.modflow.max,RMSE.match,MSE.match,KGE.match,prc.match
1884,Transient,0.001,1.5,114,81,-7.2,0.076733649400744,0.179946053569699,0.00880573922859963,0.801322269802566,0.116087593403372,0.0134763293421867,0.580668686451012,0.710526315789474
1884,Transient,0.001,1.75,114,79,2.7,0.0812262312818757,0.179946053569699,0.00880573922859963,0.801322269802566,0.128549396990208,0.0165249474665462,0.576074253809021,0.692982456140351
1884,Transient,0.001,2,114,78,11.3,0.087564895107193,0.179946053569699,0.00880573922859963,0.801322269802566,0.141946726803759,0.0201488732503011,0.563212516424635,0.684210526315789
1884,Transient,0.001,2.25,114,77,18.6,0.0948074455123643,0.179946053569699,0.00880573922859963,0.801322269802566,0.154291922236546,0.0238059972674483,0.545686761145766,0.675438596491228
1884,Transient,0.001,2.5,114,76,24.7,0.101947154410383,0.179946053569699,0.00880573922859963,0.801322269802566,0.165054262652781,0.0272429096198533,0.525881361636172,0.666666666666667
1884,Transient,0.001,2.75,114,75,29.8,0.108695174532841,0.179946053569699,0.00880573922859963,0.801322269802566,0.174270493431626,0.0303702048809025,0.505463824261239,0.657894736842105
1884,Transient,0.001,3,114,74,34,0.115158028115057,0.179946053569699,0.00880573922859963,0.801322269802566,0.182132255988743,0.0331721586715491,0.485560148318233,0.649122807017544
1884,Transient,0.01,1,114,82,-21.3,0.0777774927675915,0.179946053569699,0.00880573922859963,0.801322269802566,0.110401402211945,0.0121884696103636,0.597209764269128,0.719298245614035
1884,Transient,0.01,1.25,114,81,-10.7,0.0742671297598747,0.179946053569699,0.00880573922859963,0.801322269802566,0.111382853890329,0.0124061401407545,0.621469960544809,0.710526315789474
1884,Transient,0.01,1.5,114,81,-0.8,0.0759421534293928,0.179946053569699,0.00880573922859963,0.801322269802566,0.120092351609723,0.0144221729151534,0.61973978926022,0.710526315789474
1884,Transient,0.01,1.75,114,79,8.1,0.0809129613256104,0.179946053569699,0.00880573922859963,0.801322269802566,0.132394143614464,0.0175282092634073,0.603155126251643,0.692982456140351
1884,Transient,0.01,2,114,78,15.7,0.087785683957678,0.179946053569699,0.00880573922859963,0.801322269802566,0.145102076681989,0.021054612657426,0.579982552084385,0.684210526315789
1884,Transient,0.01,2.25,114,77,22.2,0.0954255246152004,0.179946053569699,0.00880573922859963,0.801322269802566,0.156761529326002,0.024574177076627,0.554784809415713,0.675438596491228
1884,Transient,0.01,2.5,114,76,27.6,0.102439461879808,0.179946053569699,0.00880573922859963,0.801322269802566,0.166960638447999,0.0278758547909636,0.529852731237667,0.666666666666667
1884,Transient,0.01,2.75,114,75,32.2,0.109343507866175,0.179946053569699,0.00880573922859963,0.801322269802566,0.175732328660602,0.0308818513364779,0.506295702889253,0.657894736842105
1884,Transient,0.01,3,114,74,36.1,0.115411800044881,0.179946053569699,0.00880573922859963,0.801322269802566,0.183245050385337,0.0335787484907248,0.48461773767891,0.649122807017544
1894.3,Intermittent,1e-04,1,113,84,-38.6,0.0314211376217891,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0384055296271018,0.0014749847059382,0.40555751293043,0.743362831858407
1894.3,Intermittent,1e-04,1.25,113,82,-27.9,0.0299082694985425,0.0660454794299919,0.00403963287112008,0.215300324139261,0.035696988441911,0.00127427498382193,0.442155119580947,0.725663716814159
1894.3,Intermittent,1e-04,1.5,114,84,-17.7,0.0303381729352484,0.0660574307840703,0.00403963287112008,0.215300324139261,0.0361774987002091,0.00130881141220363,0.445623693883554,0.736842105263158
1894.3,Intermittent,1e-04,1.75,113,80,-7,0.0316713216047744,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0390727502013092,0.00152667980829391,0.456508000322345,0.707964601769911
1894.3,Intermittent,1e-04,2,113,80,2.3,0.0333802398501796,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0435205671416696,0.00189403976433257,0.44479316909409,0.707964601769911
1894.3,Intermittent,1e-04,2.25,113,79,10.5,0.0362084688329705,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0483915411352789,0.00234174125344739,0.426687083204321,0.699115044247788
1894.3,Intermittent,1e-04,2.5,113,78,17.6,0.0389654213154638,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0531330303107047,0.00282311890999827,0.405241809418072,0.690265486725664
1894.3,Intermittent,1e-04,2.75,113,78,23.7,0.0417330661986876,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0575016589055413,0.00330644077688921,0.382584192145249,0.690265486725664
1894.3,Intermittent,1e-04,3,113,77,29,0.0442967072375906,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0614130628010133,0.00377156428260121,0.36013932841483,0.68141592920354
1894.3,Intermittent,0.001,1,113,84,-31.7,0.0297569920173792,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0360954438832961,0.00130288106913218,0.465686252813059,0.743362831858407
1894.3,Intermittent,0.001,1.25,113,82,-21.7,0.0291730205929069,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0348006036879012,0.00121108201704236,0.490801500054287,0.725663716814159
1894.3,Intermittent,0.001,1.5,113,83,-11.8,0.0297894315691939,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0363330875813135,0.0013200932531914,0.494806762566795,0.734513274336283
1894.3,Intermittent,0.001,1.75,113,80,-2.4,0.0315376932861904,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0399345741815371,0.00159477021506069,0.484010796976239,0.707964601769911
1894.3,Intermittent,0.001,2,113,80,6,0.0334712748285318,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0445112016778743,0.0019812470748084,0.464430793804454,0.707964601769911
1894.3,Intermittent,0.001,2.25,113,79,13.5,0.0363697356309019,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0492943422417501,0.00242993217704679,0.440368800515016,0.699115044247788
1894.3,Intermittent,0.001,2.5,113,78,20,0.0392644802792314,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0538792873759174,0.00290297760813669,0.414643311617833,0.690265486725664
1894.3,Intermittent,0.001,2.75,113,78,25.7,0.0419527446314817,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0580885949321093,0.00337428486118667,0.389017559621427,0.690265486725664
1894.3,Intermittent,0.001,3,113,77,30.5,0.0444519314236459,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0618608373486095,0.00382676319747112,0.364570887154185,0.68141592920354
1894.3,Intermittent,0.01,1,113,83,-23.4,0.0284329718632708,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0344178518585059,0.00118458852655406,0.532005747253399,0.734513274336283
1894.3,Intermittent,0.01,1.25,113,82,-14.1,0.0284577096386819,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0345974859102304,0.00119698603130859,0.545369098199358,0.725663716814159
1894.3,Intermittent,0.01,1.5,114,84,-5.6,0.0296147109556265,0.0660574307840703,0.00403963287112008,0.215300324139261,0.0371942195756532,0.0013834099698419,0.526959090179028,0.736842105263158
1894.3,Intermittent,0.01,1.75,113,80,3.3,0.0312747521441956,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0411658228054142,0.00169462496724676,0.515818109691311,0.707964601769911
1894.3,Intermittent,0.01,2,113,80,10.9,0.0337220856916252,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0457978122365638,0.00209743960565555,0.487327237106281,0.707964601769911
1894.3,Intermittent,0.01,2.25,113,79,17.6,0.0366935603423294,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0504597589344757,0.0025461872717254,0.456567528588285,0.699115044247788
1894.3,Intermittent,0.01,2.5,113,78,23.4,0.0394684083482959,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0548605170527067,0.00300967633129033,0.426082164041356,0.690265486725664
1894.3,Intermittent,0.01,2.75,113,78,28.5,0.0421044323768672,0.0660454794299919,0.00403963287112008,0.215300324139261,0.058875450178923,0.00346631863377085,0.39723389814489,0.690265486725664
1894.3,Intermittent,0.01,3,113,77,32.9,0.0445103385032919,0.0660454794299919,0.00403963287112008,0.215300324139261,0.0624709662360178,0.00390262162246168,0.37064495126119,0.68141592920354
1894.3,Transient,1e-04,1,113,82,-37.5,0.0894915129117191,0.182138533619521,0.00924602619002961,0.802202843725426,0.118230876296532,0.013978540109846,0.477008308245271,0.725663716814159
1894.3,Transient,1e-04,1.25,113,81,-25.3,0.0805415719644869,0.182138533619521,0.00924602619002961,0.802202843725426,0.10997069380381,0.0120935534956913,0.522231855469764,0.716814159292035
1894.3,Transient,1e-04,1.5,113,81,-13.2,0.0782511136856079,0.182138533619521,0.00924602619002961,0.802202843725426,0.113761952720818,0.0129417818868535,0.546177818894039,0.716814159292035
1894.3,Transient,1e-04,1.75,113,79,-2.2,0.0813555547615324,0.182138533619521,0.00924602619002961,0.802202843725426,0.125457288697054,0.0157395312872159,0.55478240069258,0.699115044247788
1894.3,Transient,1e-04,2,113,78,7.4,0.0876063604718657,0.182138533619521,0.00924602619002961,0.802202843725426,0.139326931941454,0.0194119939642184,0.552527165045718,0.690265486725664
1894.3,Transient,1e-04,2.25,113,77,15.4,0.094483055920208,0.182138533619521,0.00924602619002961,0.802202843725426,0.152419131811596,0.0232315917422005,0.542409972312991,0.68141592920354
1894.3,Transient,1e-04,2.5,113,76,22.1,0.101972823797727,0.182138533619521,0.00924602619002961,0.802202843725426,0.16385388283843,0.0268480949212299,0.527238823394011,0.672566371681416
1894.3,Transient,1e-04,2.75,113,75,27.7,0.108651022096413,0.182138533619521,0.00924602619002961,0.802202843725426,0.173594932611846,0.0301352006285114,0.50946868292987,0.663716814159292
1894.3,Transient,1e-04,3,113,74,32.4,0.115146937014784,0.182138533619521,0.00924602619002961,0.802202843725426,0.181853077457091,0.0330705417806146,0.490914914077768,0.654867256637168
1894.3,Transient,0.001,1,113,82,-29.8,0.0842978324521711,0.182138533619521,0.00924602619002961,0.802202843725426,0.113034067138362,0.0127767003338397,0.540823636662003,0.725663716814159
1894.3,Transient,0.001,1.25,113,81,-18.4,0.0776943247273285,0.182138533619521,0.00924602619002961,0.802202843725426,0.109814621023435,0.0120592509905206,0.575789868193758,0.716814159292035
1894.3,Transient,0.001,1.5,113,81,-7.4,0.0774379591851493,0.182138533619521,0.00924602619002961,0.802202843725426,0.116756579293997,0.0136320988084354,0.586626849474666,0.716814159292035
1894.3,Transient,0.001,1.75,113,79,2.6,0.0817145389835102,0.182138533619521,0.00924602619002961,0.802202843725426,0.129134319763092,0.0166756725406765,0.582293418943658,0.699115044247788
1894.3,Transient,0.001,2,113,78,11.1,0.0881420303838681,0.182138533619521,0.00924602619002961,0.802202843725426,0.142518988242589,0.0203116620096913,0.569367980720263,0.690265486725664
1894.3,Transient,0.001,2.25,113,77,18.4,0.0954303098607159,0.182138533619521,0.00924602619002961,0.802202843725426,0.15488369073468,0.023988957655596,0.551613037757801,0.68141592920354
1894.3,Transient,0.001,2.5,113,76,24.5,0.102610156569394,0.182138533619521,0.00924602619002961,0.802202843725426,0.165679019018054,0.0274495373427848,0.531511511724018,0.672566371681416
1894.3,Transient,0.001,2.75,113,75,29.5,0.10925974734121,0.182138533619521,0.00924602619002961,0.802202843725426,0.174929363216116,0.0306002821151957,0.510809378397193,0.663716814159292
