stream_BC,pump,analytical,apportionment,method,Time,MSE.sum,KGE.sum
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1713,0.0202045784869845,0.107307562988584
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1723,0.0206991247468152,0.125536602774471
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1733,0.0214543139290065,0.148078250823266
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1743.3,0.021842407554107,0.156542297819207
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1753.7,0.0223265031665258,0.163279577519291
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1764,0.0226513012802834,0.175661880128324
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1774,0.0158789379467776,0.151304148601797
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1784,0.0143711102661567,0.190137857749588
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1794,0.0136972269840448,0.186914366256947
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1804.3,0.0138397626356541,0.177866939738036
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1814.7,0.0132568025302821,0.168449462997874
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1825,0.0130274228060424,0.159227743631862
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1835.3,0.0130863529016341,0.15426158465874
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1845.7,0.0129150431651759,0.135102437551698
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1856,0.0128169879925101,0.141923841576448
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1865.3,0.0129006089618015,0.132722834917161
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1874.7,0.0126650415447453,0.135678357097581
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1884,0.0126477905814771,0.129067663853183
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1894.3,0.0126753196184033,0.122001251604563
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1904.7,0.0123861653369499,0.130078162701359
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1915,0.0122823946142694,0.126882689461873
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1925,0.0123414036185701,0.12748356589839
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1935,0.0122505307787679,0.128612489105969
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1945,0.0122947686800921,0.116828247249348
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1955.3,0.0117790676210045,0.120161506835746
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1965.7,0.0117680671937669,0.11435533878851
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1976,0.0116983823292898,0.114384251594106
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1986,0.0154583067152839,-0.0710410459927882
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1996,0.0170768491488289,-0.192075808663843
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2006,0.0181802224652227,-0.194788114655509
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2016.3,0.0190088566160999,-0.159605714690383
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2026.7,0.019655087497634,-0.122535392907305
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2037,0.0202222834490384,-0.0834692633263845
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2047.3,0.0208171249385289,-0.0487964869577882
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2057.7,0.021420478347507,-0.019752903891727
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2068,0.0219454562972565,0.00587688251239404
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2078,0.0224091664994154,0.024275267427075
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2088,0.0228236254391867,0.0442979875702123
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2098,0.0236668859537389,0.0747049345113753
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2108.3,0.0239633282906592,0.079449239371131
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2118.7,0.0244486948377004,0.088743188061417
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2129,0.0250642981044819,0.0945833645474847
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2139,0.0186241139798628,0.076785789877592
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2149,0.0172782472728725,0.123693949730635
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2159,0.0166083793056057,0.126057236875065
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2169.3,0.0173684450529757,0.113097159674202
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2179.7,0.0165954649751922,0.109079120161589
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2190,0.0165318328149572,0.127076094995937
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2200.3,0.0163053102314016,0.105365994697804
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2210.7,0.0159385259239792,0.0993712286118175
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2221,0.0160731808416042,0.0964029756629466
