stream_BC,pump,analytical,apportionment,method,Time,MSE.overall,KGE.overall
SFR,Intermittent,hunt,Dynamic,Qf.Web,2230.3,0.00152793432462301,0.0213991025812763
SFR,Intermittent,hunt,Dynamic,Qf.Web,2239.7,0.001345676898068,0.0438861121075087
SFR,Intermittent,hunt,Dynamic,Qf.Web,2249,0.00126441240545358,0.0457495051475714
SFR,Intermittent,hunt,Dynamic,Qf.Web,2259.3,0.00126924196694834,0.0266888500576462
SFR,Intermittent,hunt,Dynamic,Qf.Web,2269.7,0.00112980525866621,0.0324280138758112
SFR,Intermittent,hunt,Dynamic,Qf.Web,2280,0.001077635509847,0.0217361706695336
SFR,Intermittent,hunt,Dynamic,Qf.Web,2290,0.0011040473326841,0.0250890834933565
SFR,Intermittent,hunt,Dynamic,Qf.Web,2300,0.0010225100160157,0.0386577448245894
SFR,Intermittent,hunt,Dynamic,Qf.Web,2310,0.00101307675260807,0.0308048476419479
SFR,Intermittent,hunt,Dynamic,Qf.Web,2320.3,0.000931040206664727,0.0267853929282287
SFR,Intermittent,hunt,Dynamic,Qf.Web,2330.7,0.000922382192593667,0.0243209500216904
SFR,Intermittent,hunt,Dynamic,Qf.Web,2341,0.000956877578336511,0.027230955682309
SFR,Intermittent,hunt,Dynamic,Qf.Web,2351,0.00100674640535574,0.0299998708594809
SFR,Intermittent,hunt,Dynamic,Qf.Web,2361,0.00126137929009072,0.0339822536153853
SFR,Intermittent,hunt,Dynamic,Qf.Web,2371,0.00143675995392295,0.0250769257634085
SFR,Intermittent,hunt,Dynamic,Qf.Web,2381.3,0.00152522848930147,0.0468886965539028
SFR,Intermittent,hunt,Dynamic,Qf.Web,2391.7,0.00182042188165269,0.029654652834543
SFR,Intermittent,hunt,Dynamic,Qf.Web,2402,0.00195011280220039,0.0398991812506047
SFR,Intermittent,hunt,Dynamic,Qf.Web,2412.3,0.00210318168943925,0.045539657617663
SFR,Intermittent,hunt,Dynamic,Qf.Web,2422.7,0.00210416833634625,0.0544807411178119
SFR,Intermittent,hunt,Dynamic,Qf.Web,2433,0.00256080489716999,0.0468978652251874
SFR,Intermittent,hunt,Dynamic,Qf.Web,2443,0.00252744747137066,0.0374541238449512
SFR,Intermittent,hunt,Dynamic,Qf.Web,2453,0.00274437002554087,0.0360550205456812
SFR,Intermittent,hunt,Dynamic,Qf.Web,2463,0.00273061415340897,0.0356369915994982
SFR,Intermittent,hunt,Dynamic,Qf.Web,2473.3,0.0028522680068543,0.0393576109908196
SFR,Intermittent,hunt,Dynamic,Qf.Web,2483.7,0.00320390566288096,0.0429742204497815
SFR,Intermittent,hunt,Dynamic,Qf.Web,2494,0.00313932875257298,0.0472972047739227
SFR,Intermittent,hunt,Dynamic,Qf.Web,2504,0.00278639048084459,0.0240766533917612
SFR,Intermittent,hunt,Dynamic,Qf.Web,2514,0.0024097344786725,0.0380256660450513
SFR,Intermittent,hunt,Dynamic,Qf.Web,2524,0.00216954434333894,0.0484096362933982
SFR,Intermittent,hunt,Dynamic,Qf.Web,2534.3,0.00193490016633216,0.0399023437622716
SFR,Intermittent,hunt,Dynamic,Qf.Web,2544.7,0.00180314912590749,0.0350226594011287
SFR,Intermittent,hunt,Dynamic,Qf.Web,2555,0.00169150890904449,0.040744069284695
SFR,Intermittent,hunt,Dynamic,Qf.Web,2565.3,0.00156748062977538,0.0388741817181868
SFR,Intermittent,hunt,Dynamic,Qf.Web,2575.7,0.00149327784865895,0.0346350596399587
SFR,Intermittent,hunt,Dynamic,Qf.Web,2586,0.00136185970303328,0.0351148092053897
SFR,Intermittent,hunt,Dynamic,Qf.Web,2595.3,0.00137305937492894,0.0328085709352551
SFR,Intermittent,hunt,Dynamic,Qf.Web,2604.7,0.00121865137440863,0.033832567551588
SFR,Intermittent,hunt,Dynamic,Qf.Web,2614,0.00119430786357682,0.0241728460079406
SFR,Intermittent,hunt,Dynamic,Qf.Web,2624.3,0.0011563709257523,0.0293170516504792
SFR,Intermittent,hunt,Dynamic,Qf.Web,2634.7,0.00102686084583017,0.0311286916115092
SFR,Intermittent,hunt,Dynamic,Qf.Web,2645,0.00107118981929557,0.0221799843188119
SFR,Intermittent,hunt,Dynamic,Qf.Web,2655,0.00101487149666549,0.0327750358662223
SFR,Intermittent,hunt,Dynamic,Qf.Web,2665,0.000939844531357808,0.0293390263187943
SFR,Intermittent,hunt,Dynamic,Qf.Web,2675,0.000911425443333286,0.0231916304840752
SFR,Intermittent,hunt,Dynamic,Qf.Web,2685.3,0.000902084970948306,0.0269924502714687
SFR,Intermittent,hunt,Dynamic,Qf.Web,2695.7,0.000842192836681027,0.0279504948507879
SFR,Intermittent,hunt,Dynamic,Qf.Web,2706,0.000849740164138203,0.0226522859497403
SFR,Intermittent,hunt,Dynamic,Qf.Web,2716,0.0010073084224746,0.0355311486746351
SFR,Intermittent,hunt,Dynamic,Qf.Web,2726,0.00113754523391411,0.0214408598647177
SFR,Intermittent,hunt,Dynamic,Qf.Web,2736,0.00133134912651976,0.0268456312634802
SFR,Intermittent,hunt,Dynamic,Qf.Web,2746.3,0.00145847185862107,0.0384164849577149
SFR,Intermittent,hunt,Dynamic,Qf.Web,2756.7,0.00164519183205821,0.0266876489411481
SFR,Intermittent,hunt,Dynamic,Qf.Web,2767,0.00170635219290204,0.0431521405142764
SFR,Intermittent,hunt,Dynamic,Qf.Web,2777.3,0.00190926771201985,0.0233781542193755
SFR,Intermittent,hunt,Dynamic,Qf.Web,2787.7,0.00208863457153241,0.0336053133232244
SFR,Intermittent,hunt,Dynamic,Qf.Web,2798,0.00215380153013501,0.0348126604432278
SFR,Intermittent,hunt,Dynamic,Qf.Web,2808,0.00221818793812242,0.0342857493288131
SFR,Intermittent,hunt,Dynamic,Qf.Web,2818,0.00231143857443523,0.0498296779015494
SFR,Intermittent,hunt,Dynamic,Qf.Web,2828,0.00250456443651141,0.0417548747462495
SFR,Intermittent,hunt,Dynamic,Qf.Web,2838.3,0.00266333053057934,0.0389967547823344
SFR,Intermittent,hunt,Dynamic,Qf.Web,2848.7,0.00259523858582603,0.0407756133606061
SFR,Intermittent,hunt,Dynamic,Qf.Web,2859,0.00272647722456149,0.0480123709274428
SFR,Intermittent,hunt,Dynamic,Qf.Web,2869,0.00238594893112042,0.0428592627260387
SFR,Intermittent,hunt,Dynamic,Qf.Web,2879,0.00208688958388112,0.031198836843957
SFR,Intermittent,hunt,Dynamic,Qf.Web,2889,0.0019576822249536,0.041728238797111
SFR,Intermittent,hunt,Dynamic,Qf.Web,2899.3,0.00175158911188746,0.0375593331669146
SFR,Intermittent,hunt,Dynamic,Qf.Web,2909.7,0.0016276807805231,0.0356906187727484
