STORAGE_IN,CONSTANT_HEAD_IN,RIVER_LEAKAGE_IN,RECHARGE_IN,MNW2_IN,TOTAL_IN,STORAGE_OUT,CONSTANT_HEAD_OUT,RIVER_LEAKAGE_OUT,RECHARGE_OUT,MNW2_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY,WellNum
0.0,0.0,484163.84375,914428.75,0.0,1398592.625,0.0,74298.9453125,1324291.75,0.0,2.271199941635132,1398593.0,-0.375,-0.0,0
0.0,0.0,484163.78125,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.625,0.0,2.271199941635132,1398592.875,-0.375,-0.0,0
0.0,0.0,484163.84375,914428.75,0.16609999537467957,1398592.75,0.0,74298.9453125,1324291.25,0.0,2.5497000217437744,1398592.75,0.0,0.0,0
0.0,0.0,484163.71875,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.625,0.0,2.271199941635132,1398592.875,-0.375,-0.0,0
0.0,0.0,484164.46875,914428.75,0.0,1398593.25,0.0,74298.78125,1324292.5,0.0,2.271199941635132,1398593.5,-0.25,-0.0,0
0.0,0.0,484163.6875,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.625,0.0,2.271199941635132,1398592.875,-0.375,-0.0,0
0.0,0.0,484163.6875,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.375,0.0,2.271199941635132,1398592.625,-0.125,-0.0,0
0.0,0.0,484163.65625,914428.75,0.0,1398592.375,0.0,74298.9453125,1324291.5,0.0,2.271199941635132,1398592.75,-0.375,-0.0,0
0.0,0.0,484163.6875,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.5,0.0,2.271199941635132,1398592.75,-0.25,-0.0,0
0.0,0.0,484163.65625,914428.75,0.3434000015258789,1398592.75,0.0,74298.9453125,1324291.5,0.0,2.629300117492676,1398593.125,-0.375,-0.0,0
0.0,0.0,484163.65625,914428.75,0.4424999952316284,1398592.875,0.0,74298.9453125,1324291.5,0.0,2.7156999111175537,1398593.25,-0.375,-0.0,0
0.0,0.0,484163.65625,914428.75,1.5995999574661255,1398594.0,0.0,74298.9453125,1324291.5,0.0,3.871299982070923,1398594.375,-0.375,-0.0,0
0.0,0.0,484163.6875,914428.75,2.210200071334839,1398594.75,0.0,74298.9453125,1324291.375,0.0,4.481500148773193,1398594.875,-0.125,-0.0,0
0.0,0.0,484163.6875,914428.75,22.033899307250977,1398614.5,0.0,74298.9453125,1324291.5,0.0,24.305099487304688,1398614.75,-0.25,-0.0,0
0.0,0.0,484163.8125,914428.75,0.0,1398592.5,0.0,74298.9375,1324291.5,0.0,2.271199941635132,1398592.75,-0.25,-0.0,0
0.0,0.0,484164.375,914428.75,0.0,1398593.125,0.0,74298.71875,1324292.5,0.0,2.271199941635132,1398593.5,-0.375,-0.0,0
0.0,0.0,484163.90625,914428.75,0.0,1398592.625,0.0,74298.9375,1324291.625,0.0,2.271199941635132,1398592.75,-0.125,-0.0,0
0.0,0.0,484163.9375,914428.75,0.0,1398592.75,0.0,74298.9375,1324291.875,0.0,2.271199941635132,1398593.0,-0.25,-0.0,0
0.0,0.0,484164.03125,914428.75,0.0,1398592.75,0.0,74298.9375,1324291.875,0.0,2.271199941635132,1398593.0,-0.25,-0.0,0
0.0,0.0,484164.09375,914428.75,0.0,1398592.875,0.0,74298.9375,1324292.0,0.0,2.271199941635132,1398593.25,-0.375,-0.0,0
0.0,0.0,484164.1875,914428.75,0.0,1398593.0,0.0,74298.9375,1324292.125,0.0,2.271199941635132,1398593.25,-0.25,-0.0,0
0.0,0.0,484164.28125,914428.75,0.0,1398593.0,0.0,74298.9375,1324292.0,0.0,2.2713000774383545,1398593.25,-0.25,-0.0,0
0.0,0.0,484164.28125,914428.75,0.0,1398593.0,0.0,74298.9375,1324292.125,0.0,2.271199941635132,1398593.25,-0.25,-0.0,0
0.0,0.0,484164.3125,914428.75,0.0,1398593.0,0.0,74298.9375,1324292.25,0.0,2.271199941635132,1398593.5,-0.5,-0.0,0
0.0,0.0,484163.875,914428.75,0.0,1398592.625,0.0,74298.9453125,1324291.75,0.0,2.271199941635132,1398593.0,-0.375,-0.0,0
0.0,0.0,484163.84375,914428.75,0.0,1398592.625,0.0,74298.9453125,1324291.625,0.0,2.271199941635132,1398592.875,-0.25,-0.0,0
0.0,0.0,484165.15625,914428.75,21.825700759887695,1398615.75,0.0,74298.765625,1324293.25,0.0,24.09709930419922,1398616.125,-0.375,-0.0,0
0.0,0.0,484164.5625,914428.75,0.0,1398593.25,0.0,74298.7265625,1324292.625,0.0,2.271199941635132,1398593.625,-0.375,-0.0,0
0.0,0.0,484163.8125,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.5,0.0,2.271199941635132,1398592.75,-0.25,-0.0,0
0.0,0.0,484163.8125,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.375,0.0,2.2713000774383545,1398592.625,-0.125,-0.0,0
0.0,0.0,484163.8125,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.375,0.0,2.2713000774383545,1398592.625,-0.125,-0.0,0
0.0,0.0,484163.78125,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.5,0.0,2.271199941635132,1398592.75,-0.25,-0.0,0
0.0,0.0,484163.6875,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.5,0.0,2.271199941635132,1398592.75,-0.25,-0.0,0
0.0,0.0,484163.65625,914428.75,0.0,1398592.375,0.0,74298.9453125,1324291.625,0.0,2.271199941635132,1398592.875,-0.5,-0.0,0
0.0,0.0,484163.71875,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.375,0.0,2.271199941635132,1398592.625,-0.125,-0.0,0
0.0,0.0,484163.6875,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.5,0.0,2.271199941635132,1398592.75,-0.25,-0.0,0
0.0,0.0,484163.65625,914428.75,0.0,1398592.375,0.0,74298.9453125,1324291.625,0.0,2.271199941635132,1398592.875,-0.5,-0.0,0
0.0,0.0,484163.71875,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.375,0.0,2.271199941635132,1398592.625,-0.125,-0.0,0
0.0,0.0,484164.28125,914428.75,0.3312999904155731,1398593.375,0.0,74298.9375,1324292.125,0.0,2.6024999618530273,1398593.625,-0.25,-0.0,0
0.0,0.0,484163.65625,914428.75,1.5719000101089478,1398594.0,0.0,74298.9453125,1324291.5,0.0,3.843100070953369,1398594.375,-0.375,-0.0,0
0.0,0.0,484163.625,914428.75,0.3747999966144562,1398592.75,0.0,74298.9453125,1324291.5,0.0,2.6461000442504883,1398593.125,-0.375,-0.0,0
0.0,0.0,484163.8125,914428.75,31.796600341796875,1398624.25,0.0,74298.9453125,1324291.75,0.0,34.067901611328125,1398624.875,-0.625,-0.0,0
0.0,0.0,484163.71875,914428.75,1.2049000263214111,1398593.75,0.0,74298.9453125,1324291.5,0.0,3.4814000129699707,1398594.0,-0.25,-0.0,0
0.0,0.0,484163.8125,914428.75,0.0,1398592.5,0.0,74298.9375,1324291.5,0.0,2.271199941635132,1398592.75,-0.25,-0.0,0
0.0,0.0,484163.90625,914428.75,0.0,1398592.625,0.0,74298.9375,1324291.625,0.0,2.271199941635132,1398592.75,-0.125,-0.0,0
0.0,0.0,484163.9375,914428.75,0.0,1398592.75,0.0,74298.9375,1324291.875,0.0,2.271199941635132,1398593.0,-0.25,-0.0,0
0.0,0.0,484164.0,914428.75,0.0,1398592.75,0.0,74298.9375,1324291.875,0.0,2.271199941635132,1398593.0,-0.25,-0.0,0
0.0,0.0,484164.125,914428.75,0.0,1398592.875,0.0,74298.9375,1324292.0,0.0,2.271199941635132,1398593.25,-0.375,-0.0,0
0.0,0.0,484164.28125,914428.75,0.0,1398593.0,0.0,74298.9375,1324292.0,0.0,2.271199941635132,1398593.25,-0.25,-0.0,0
0.0,0.0,484163.96875,914428.75,0.0,1398592.75,0.0,74298.9296875,1324291.875,0.0,2.271199941635132,1398593.0,-0.25,-0.0,0
0.0,0.0,484164.1875,914428.75,0.0,1398593.0,0.0,74298.9375,1324292.125,0.0,2.271199941635132,1398593.25,-0.25,-0.0,0
0.0,0.0,484164.21875,914428.75,0.0,1398593.0,0.0,74298.9375,1324292.125,0.0,2.271199941635132,1398593.25,-0.25,-0.0,0
0.0,0.0,484164.28125,914428.75,0.0,1398593.0,0.0,74298.9375,1324292.125,0.0,2.271199941635132,1398593.25,-0.25,-0.0,0
0.0,0.0,484163.8125,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.625,0.0,2.271199941635132,1398592.875,-0.375,-0.0,0
0.0,0.0,484163.875,914428.75,0.0,1398592.625,0.0,74298.9453125,1324291.5,0.0,2.271199941635132,1398592.75,-0.125,-0.0,0
0.0,0.0,484163.84375,914428.75,0.0,1398592.625,0.0,74298.9453125,1324291.625,0.0,2.271199941635132,1398592.875,-0.25,-0.0,0
0.0,0.0,484163.8125,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.5,0.0,2.271199941635132,1398592.75,-0.25,-0.0,0
0.0,0.0,484163.78125,914428.75,1.268399953842163,1398593.75,0.0,74298.9453125,1324291.625,0.0,3.5397000312805176,1398594.125,-0.375,-0.0,0
0.0,0.0,484163.78125,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.5,0.0,2.2713000774383545,1398592.75,-0.25,-0.0,0
0.0,0.0,484163.75,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.5,0.0,2.271199941635132,1398592.75,-0.25,-0.0,0
0.0,0.0,484164.90625,914428.75,28.217100143432617,1398621.875,0.0,74298.828125,1324293.0,0.0,30.488300323486328,1398622.375,-0.5,-0.0,0
0.0,0.0,484163.71875,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.5,0.0,2.271199941635132,1398592.75,-0.25,-0.0,0
0.0,0.0,484163.9375,914428.75,20.886699676513672,1398613.625,0.0,74298.9453125,1324291.75,0.0,23.15920066833496,1398613.875,-0.25,-0.0,0
0.0,0.0,484163.6875,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.5,0.0,2.271199941635132,1398592.75,-0.25,-0.0,0
0.0,0.0,484163.78125,914428.75,3.346100091934204,1398595.875,0.0,74298.9453125,1324291.375,0.0,5.617800235748291,1398596.0,-0.125,-0.0,0
0.0,0.0,484163.75,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.375,0.0,2.271199941635132,1398592.625,-0.125,-0.0,0
0.0,0.0,484163.71875,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.5,0.0,2.271199941635132,1398592.75,-0.25,-0.0,0
0.0,0.0,484163.71875,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.5,0.0,2.274899959564209,1398592.75,-0.25,-0.0,0
0.0,0.0,484163.71875,914428.75,0.011076999828219414,1398592.5,0.0,74298.9453125,1324291.5,0.0,2.2827999591827393,1398592.75,-0.25,-0.0,0
0.0,0.0,484163.6875,914428.75,6.342100143432617,1398598.875,0.0,74298.9453125,1324291.5,0.0,8.613800048828125,1398599.125,-0.25,-0.0,0
0.0,0.0,484163.9375,914428.75,31.897899627685547,1398624.625,0.0,74298.9375,1324291.875,0.0,34.16939926147461,1398624.875,-0.25,-0.0,0
0.0,0.0,484164.21875,914428.75,0.0,1398593.0,0.0,74298.875,1324292.125,0.0,2.271199941635132,1398593.25,-0.25,-0.0,0
0.0,0.0,484163.8125,914428.75,3.4231998920440674,1398595.875,0.0,74298.9453125,1324291.5,0.0,5.694399833679199,1398596.25,-0.375,-0.0,0
0.0,0.0,484163.8125,914428.75,0.0,1398592.5,0.0,74298.9375,1324291.75,0.0,2.271199941635132,1398593.0,-0.5,-0.0,0
