"row" "col" "lay" "lon" "lat" "WellNum" "ztop_m"
52 84 0 451634.12422272 4337604.71038478 107 214.088882446289
56 84 0 451634.12422272 4336604.71038478 108 143.92057800293
60 84 0 451634.12422272 4335604.71038478 109 111.897621154785
64 84 0 451634.12422272 4334604.71038478 110 88.3908386230469
68 84 0 451634.12422272 4333604.71038478 111 215.545715332031
72 84 0 451634.12422272 4332604.71038478 112 107.753524780273
76 84 0 451634.12422272 4331604.71038478 113 210.846557617188
80 84 0 451634.12422272 4330604.71038478 114 138.902084350586
88 84 0 451634.12422272 4328604.71038478 115 335.511871337891
92 84 0 451634.12422272 4327604.71038478 116 381.049560546875
24 88 0 452634.12422272 4344604.71038478 117 273.757598876953
28 88 0 452634.12422272 4343604.71038478 118 198.952713012695
32 88 0 452634.12422272 4342604.71038478 119 178.247863769531
36 88 0 452634.12422272 4341604.71038478 120 198.866012573242
40 88 0 452634.12422272 4340604.71038478 121 305.306243896484
44 88 0 452634.12422272 4339604.71038478 122 180.945755004883
48 88 0 452634.12422272 4338604.71038478 123 254.43473815918
60 88 0 452634.12422272 4335604.71038478 124 222.18620300293
64 88 0 452634.12422272 4334604.71038478 125 102.822120666504
68 88 0 452634.12422272 4333604.71038478 126 171.118728637695
72 88 0 452634.12422272 4332604.71038478 127 174.264190673828
76 88 0 452634.12422272 4331604.71038478 128 59.0856475830078
84 88 0 452634.12422272 4329604.71038478 129 97.9016265869141
88 88 0 452634.12422272 4328604.71038478 130 249.918075561523
92 88 0 452634.12422272 4327604.71038478 131 183.399429321289
96 88 0 452634.12422272 4326604.71038478 132 476.542633056641
24 92 0 453634.12422272 4344604.71038478 133 347.382202148438
28 92 0 453634.12422272 4343604.71038478 134 163.556228637695
36 92 0 453634.12422272 4341604.71038478 135 186.838272094727
44 92 0 453634.12422272 4339604.71038478 136 221.506423950195
48 92 0 453634.12422272 4338604.71038478 137 265.363464355469
52 92 0 453634.12422272 4337604.71038478 138 278.960723876953
56 92 0 453634.12422272 4336604.71038478 139 286.625152587891
64 92 0 453634.12422272 4334604.71038478 140 273.233856201172
68 92 0 453634.12422272 4333604.71038478 141 136.614364624023
72 92 0 453634.12422272 4332604.71038478 142 98.6399002075195
76 92 0 453634.12422272 4331604.71038478 143 110.518745422363
80 92 0 453634.12422272 4330604.71038478 144 72.035758972168
84 92 0 453634.12422272 4329604.71038478 145 112.502708435059
88 92 0 453634.12422272 4328604.71038478 146 118.722473144531
92 92 0 453634.12422272 4327604.71038478 147 284.060485839844
96 92 0 453634.12422272 4326604.71038478 148 437.156341552734
28 96 0 454634.12422272 4343604.71038478 149 278.033874511719
32 96 0 454634.12422272 4342604.71038478 150 156.961883544922
36 96 0 454634.12422272 4341604.71038478 151 142.880889892578
40 96 0 454634.12422272 4340604.71038478 152 311.308654785156
44 96 0 454634.12422272 4339604.71038478 153 173.231811523438
48 96 0 454634.12422272 4338604.71038478 154 257.577941894531
52 96 0 454634.12422272 4337604.71038478 155 325.805084228516
56 96 0 454634.12422272 4336604.71038478 156 337.032806396484
64 96 0 454634.12422272 4334604.71038478 157 291.188568115234
68 96 0 454634.12422272 4333604.71038478 158 326.331604003906
72 96 0 454634.12422272 4332604.71038478 159 151.070419311523
76 96 0 454634.12422272 4331604.71038478 160 71.8410339355469
80 96 0 454634.12422272 4330604.71038478 161 113.681846618652
84 96 0 454634.12422272 4329604.71038478 162 98.0923461914062
92 96 0 454634.12422272 4327604.71038478 163 178.512298583984
96 96 0 454634.12422272 4326604.71038478 164 321.465850830078
